SAMPLE_ID	mutations	cna
TARGET-10-PANBXW-09	NA	WXS/WGS
TARGET-10-PANCVR-03	WXS/WGS	NA
TARGET-10-PANCVR-04	NA	NA
TARGET-10-PANCVR-09	NA	WXS/WGS
TARGET-10-PANDCF-03	NA	NA
TARGET-10-PANDCF-04	NA	NA
TARGET-10-PANDCF-09	NA	WXS/WGS
TARGET-10-PANDPX-03	NA	WXS/WGS
TARGET-10-PANDPX-04	NA	NA
TARGET-10-PANDRS-09	NA	NA
TARGET-10-PANDWE-03	WXS/WGS	NA
TARGET-10-PANDWE-04	NA	NA
TARGET-10-PANDWE-09	NA	NA
TARGET-10-PANDYD-09	NA	WXS/WGS
TARGET-10-PANGIF-03	NA	NA
TARGET-10-PANGIF-09	WXS/WGS	WXS/WGS
TARGET-10-PANIEU-03	NA	NA
TARGET-10-PANIEU-09	WXS/WGS	WXS/WGS
TARGET-10-PANJWJ-09	WXS/WGS	WXS/WGS
TARGET-10-PANKAK-04	NA	NA
TARGET-10-PANKAK-09	WXS/WGS	NA
TARGET-10-PANKKU-03	NA	WXS/WGS
TARGET-10-PANPJW-04	NA	NA
TARGET-10-PANPJW-09	NA	WXS/WGS
TARGET-10-PANRVB-09	NA	WXS/WGS
TARGET-10-PANRYX-09	NA	WXS/WGS
TARGET-10-PANRYX-40	NA	NA
TARGET-10-PANSBR-09	WXS/WGS	WXS/WGS
TARGET-10-PANSDA-04	NA	NA
TARGET-10-PANSDA-09	WXS/WGS	WXS/WGS
TARGET-10-PANSHK-04	NA	WXS/WGS
TARGET-10-PANSHK-09	WXS/WGS	WXS/WGS
TARGET-10-PANSPW-09	WXS/WGS	WXS/WGS
TARGET-10-PANSUL-09	WXS/WGS	WXS/WGS
TARGET-10-PANTSM-03	WXS/WGS	NA
TARGET-10-PANTSM-04	NA	WXS/WGS
TARGET-10-PANTSM-09	NA	WXS/WGS
TARGET-10-PANUHA-09	WXS/WGS	WXS/WGS
TARGET-10-PANUKN-03	NA	WXS/WGS
TARGET-10-PANUKN-04	NA	NA
TARGET-10-PANUKN-09	NA	NA
TARGET-10-PANUSN-03	NA	NA
TARGET-10-PANUSN-04	NA	WXS/WGS
TARGET-10-PANUSN-09	NA	WXS/WGS
TARGET-10-PANVIC-09	NA	NA
TARGET-10-PANVJN-04	NA	NA
TARGET-10-PANVYR-03	NA	NA
TARGET-10-PANVYR-04	NA	NA
TARGET-10-PANVYR-09	NA	WXS/WGS
TARGET-10-PANWHJ-04	NA	WXS/WGS
TARGET-10-PANWHJ-09	WXS/WGS	WXS/WGS
TARGET-10-PANWYH-09	WXS/WGS	WXS/WGS
TARGET-10-PANXGD-09	NA	NA
TARGET-10-PANXPE-03	WXS/WGS	NA
TARGET-10-PANXPE-04	NA	WXS/WGS
TARGET-10-PANXPE-09	NA	WXS/WGS
TARGET-10-PANXXY-04	NA	NA
TARGET-10-PANYGB-04	NA	WXS/WGS
TARGET-10-PANYGB-09	WXS/WGS	WXS/WGS
TARGET-10-PANYYV-03	WXS/WGS	NA
TARGET-10-PANYYV-04	NA	WXS/WGS
TARGET-10-PANYZE-09	WXS/WGS	WXS/WGS
TARGET-10-PANZAM-04	NA	NA
TARGET-10-PANZAM-09	NA	NA
TARGET-10-PANZEV-04	NA	NA
TARGET-10-PANZEV-09	NA	NA
TARGET-10-PANZPJ-04	NA	NA
TARGET-10-PANZPJ-09	WXS/WGS	WXS/WGS
TARGET-10-PANZWG-09	NA	NA
TARGET-10-PANZXC-04	NA	WXS/WGS
TARGET-10-PANZXC-09	NA	WXS/WGS
TARGET-10-PAPACP-03	WXS/WGS	NA
TARGET-10-PAPACP-04	NA	WXS/WGS
TARGET-10-PAPACP-09	NA	WXS/WGS
TARGET-10-PAPAGK-03	WXS/WGS	NA
TARGET-10-PAPAGK-04	NA	WXS/WGS
TARGET-10-PAPAGK-09	WXS/WGS	WXS/WGS
TARGET-10-PAPAIZ-09	WXS/WGS	WXS/WGS
TARGET-10-PAPBSY-09	WXS/WGS	WXS/WGS
TARGET-10-PAPCJS-03	NA	NA
TARGET-10-PAPCJS-04	NA	NA
TARGET-10-PAPCPC-04	NA	NA
TARGET-10-PAPCUR-04	NA	WXS/WGS
TARGET-10-PAPCUR-09	WXS/WGS	WXS/WGS
TARGET-10-PAPCVA-09	NA	WXS/WGS
TARGET-10-PAPCVZ-03	NA	NA
TARGET-10-PAPCVZ-04	NA	WXS/WGS
TARGET-10-PAPCVZ-09	WXS/WGS	WXS/WGS
TARGET-10-PAPDEE-04	NA	NA
TARGET-10-PAPDEE-09	NA	WXS/WGS
TARGET-10-PAPDJM-04	NA	WXS/WGS
TARGET-10-PAPDJM-09	WXS/WGS	WXS/WGS
TARGET-10-PAPDKJ-04	NA	WXS/WGS
TARGET-10-PAPDKJ-09	WXS/WGS	WXS/WGS
TARGET-10-PAPDUF-09	WXS/WGS	WXS/WGS
TARGET-10-PAPDUV-04	NA	WXS/WGS
TARGET-10-PAPDUV-09	WXS/WGS	WXS/WGS
TARGET-10-PAPDWT-04	NA	WXS/WGS
TARGET-10-PAPDWT-09	WXS/WGS	WXS/WGS
TARGET-10-PAPEAB-03	NA	NA
TARGET-10-PAPEAB-04	NA	WXS/WGS
TARGET-10-PAPEAB-09	NA	WXS/WGS
TARGET-10-PAPECF-04	NA	WXS/WGS
TARGET-10-PAPECF-09	WXS/WGS	WXS/WGS
TARGET-10-PAPEFH-03	WXS/WGS	NA
TARGET-10-PAPEFH-04	NA	WXS/WGS
TARGET-10-PAPEFH-09	NA	WXS/WGS
TARGET-10-PAPEGV-04	NA	NA
TARGET-10-PAPEGV-09	NA	WXS/WGS
TARGET-10-PAPEJN-04	NA	WXS/WGS
TARGET-10-PAPEJN-09	WXS/WGS	WXS/WGS
TARGET-10-PAPELE-09	NA	WXS/WGS
TARGET-10-PAPERG-04	NA	NA
TARGET-10-PAPERG-09	NA	WXS/WGS
TARGET-10-PAPESW-09	NA	WXS/WGS
TARGET-10-PAPFDT-04	NA	NA
TARGET-10-PAPFWH-09	WXS/WGS	WXS/WGS
TARGET-10-PAPGFP-04	NA	WXS/WGS
TARGET-10-PAPGFP-09	WXS/WGS	WXS/WGS
TARGET-10-PAPGYC-04	NA	NA
TARGET-10-PAPGYC-09	WXS/WGS	WXS/WGS
TARGET-10-PAPHCJ-09	NA	WXS/WGS
TARGET-10-PAPHEK-03	WXS/WGS	NA
TARGET-10-PAPHEK-04	NA	NA
TARGET-10-PAPHJF-04	NA	WXS/WGS
TARGET-10-PAPHJF-09	WXS/WGS	WXS/WGS
TARGET-10-PAPHMH-09	WXS/WGS	WXS/WGS
TARGET-10-PAPHXN-03	NA	WXS/WGS
TARGET-10-PAPHXN-04	NA	NA
TARGET-10-PAPIDY-04	NA	WXS/WGS
TARGET-10-PAPIDY-09	NA	WXS/WGS
TARGET-10-PAPIJB-04	NA	WXS/WGS
TARGET-10-PAPIJB-09	WXS/WGS	WXS/WGS
TARGET-10-PAPIPW-04	NA	NA
TARGET-10-PAPIRZ-09	WXS/WGS	WXS/WGS
TARGET-10-PAPISG-03	WXS/WGS	NA
TARGET-10-PAPISG-04	NA	WXS/WGS
TARGET-10-PAPISG-09	NA	WXS/WGS
TARGET-10-PAPJHB-04	NA	WXS/WGS
TARGET-10-PAPJHB-09	WXS/WGS	WXS/WGS
TARGET-10-PAPJHR-04	NA	WXS/WGS
TARGET-10-PAPJHR-09	WXS/WGS	WXS/WGS
TARGET-10-PAPJIB-03	WXS/WGS	NA
TARGET-10-PAPJIB-04	NA	WXS/WGS
TARGET-10-PAPJIB-09	WXS/WGS	WXS/WGS
TARGET-10-PAPJPH-03	NA	NA
TARGET-10-PAPJPH-04	NA	NA
TARGET-10-PAPJXI-04	NA	WXS/WGS
TARGET-10-PAPJXI-09	NA	WXS/WGS
TARGET-10-PAPKGY-04	NA	NA
TARGET-10-PAPKGY-09	NA	NA
TARGET-10-PAPKNC-09	WXS/WGS	WXS/WGS
TARGET-10-PAPLDL-03	WXS/WGS	NA
TARGET-10-PAPLDL-04	NA	WXS/WGS
TARGET-10-PAPLDL-09	WXS/WGS	WXS/WGS
TARGET-10-PAPLDM-04	NA	NA
TARGET-10-PAPLDM-09	WXS/WGS	NA
TARGET-10-PAPLTZ-04	NA	WXS/WGS
TARGET-10-PAPLTZ-09	NA	WXS/WGS
TARGET-10-PAPLUG-04	NA	WXS/WGS
TARGET-10-PAPLUG-09	WXS/WGS	WXS/WGS
TARGET-10-PAPMFI-04	NA	WXS/WGS
TARGET-10-PAPMFI-09	NA	WXS/WGS
TARGET-10-PAPMVB-04	NA	WXS/WGS
TARGET-10-PAPMVB-09	WXS/WGS	WXS/WGS
TARGET-10-PAPMYD-03	WXS/WGS	NA
TARGET-10-PAPMYD-09	NA	WXS/WGS
TARGET-10-PAPNFY-03	WXS/WGS	NA
TARGET-10-PAPNFY-04	NA	WXS/WGS
TARGET-10-PAPNFY-09	NA	WXS/WGS
TARGET-10-PAPNMY-04	NA	WXS/WGS
TARGET-10-PAPNMY-09	WXS/WGS	WXS/WGS
TARGET-10-PAPNMY-40	NA	NA
TARGET-10-PAPNNX-03	WXS/WGS	NA
TARGET-10-PAPNNX-04	NA	WXS/WGS
TARGET-10-PAPNNX-09	NA	WXS/WGS
TARGET-10-PAPNTA-04	NA	NA
TARGET-10-PAPNZE-09	NA	NA
TARGET-10-PAPPGN-03	WXS/WGS	NA
TARGET-10-PAPPGN-04	NA	WXS/WGS
TARGET-10-PAPPGN-09	NA	WXS/WGS
TARGET-10-PAPPHL-04	NA	NA
TARGET-10-PAPPHL-09	NA	NA
TARGET-10-PAPRCS-04	NA	WXS/WGS
TARGET-10-PAPRCS-09	WXS/WGS	WXS/WGS
TARGET-10-PAPRFE-09	WXS/WGS	WXS/WGS
TARGET-10-PAPRYB-03	NA	NA
TARGET-10-PAPRYB-40	NA	NA
TARGET-10-PAPSPG-03	WXS/WGS	NA
TARGET-10-PAPSPG-04	NA	WXS/WGS
TARGET-10-PAPSPG-09	NA	WXS/WGS
TARGET-10-PAPSPN-03	WXS/WGS	NA
TARGET-10-PAPSPN-04	NA	WXS/WGS
TARGET-10-PAPSPN-09	WXS/WGS	WXS/WGS
TARGET-10-PAPTGG-09	NA	NA
TARGET-10-PAPTHJ-03	NA	NA
TARGET-10-PAPTHJ-04	NA	WXS/WGS
TARGET-10-PAPTHJ-09	NA	WXS/WGS
TARGET-10-PAPTLM-09	WXS/WGS	WXS/WGS
TARGET-10-PAPUDR-09	NA	NA
TARGET-10-PAPVNW-09	NA	WXS/WGS
TARGET-10-PAPVTA-04	NA	WXS/WGS
TARGET-10-PAPVTA-09	WXS/WGS	WXS/WGS
TARGET-10-PAPXED-04	NA	NA
TARGET-10-PAPXED-09	NA	NA
TARGET-10-PAPYEX-04	NA	NA
TARGET-10-PAPZGR-04	NA	NA
TARGET-10-PAPZGR-09	NA	NA
TARGET-10-PAPZNK-03	WXS/WGS	NA
TARGET-10-PAPZNK-04	NA	WXS/WGS
TARGET-10-PAPZNK-09	WXS/WGS	WXS/WGS
TARGET-10-PAPZST-04	NA	WXS/WGS
TARGET-10-PAPZST-09	WXS/WGS	WXS/WGS
TARGET-10-PARACA-04	NA	WXS/WGS
TARGET-10-PARACA-09	WXS/WGS	WXS/WGS
TARGET-10-PARAKF-03	WXS/WGS	NA
TARGET-10-PARAKF-04	NA	WXS/WGS
TARGET-10-PARAKF-09	WXS/WGS	WXS/WGS
TARGET-10-PARARJ-04	NA	WXS/WGS
TARGET-10-PARARJ-09	WXS/WGS	WXS/WGS
TARGET-10-PARBDN-03	NA	NA
TARGET-10-PARBDN-04	NA	NA
TARGET-10-PARBRK-03	WXS/WGS	NA
TARGET-10-PARBRK-04	NA	WXS/WGS
TARGET-10-PARBRK-09	WXS/WGS	WXS/WGS
TARGET-10-PARBVI-04	NA	WXS/WGS
TARGET-10-PARBVI-09	WXS/WGS	WXS/WGS
TARGET-10-PARCBK-04	NA	NA
TARGET-10-PARCBK-09	NA	NA
TARGET-10-PARCHB-03	WXS/WGS	NA
TARGET-10-PARCHB-09	NA	WXS/WGS
TARGET-10-PARDLR-09	NA	NA
TARGET-10-PARDNF-09	NA	NA
TARGET-10-PARDWE-03	WXS/WGS	NA
TARGET-10-PARDWE-04	NA	WXS/WGS
TARGET-10-PARDWE-40	NA	NA
TARGET-10-PARFLV-04	NA	WXS/WGS
TARGET-10-PARFLV-09	WXS/WGS	WXS/WGS
